"SourceSid","DestinationObjectID"
"S-1-5-21-1134100248-2527842415-542649075-1207","4f48f31f-0eb3-493f-97a6-97c437275d44"
"S-1-5-21-1134100248-2527842415-542649075-1216","faf18f5e-19d8-4ea4-bec1-bf92cd0eb64c"
"S-1-5-21-1134100248-2527842415-542649075-1657","8d367636-d079-4973-a684-30d10227116e"
"S-1-5-21-1134100248-2527842415-542649075-1648","4ec6b186-82f3-46a3-8b5e-c498434c9d44"
"S-1-5-21-1134100248-2527842415-542649075-1676","71244091-55b0-40d6-b3f4-f71f62673b3f"
"S-1-5-21-1134100248-2527842415-542649075-1230","1e986cb5-8ca9-4f2b-9d68-81e5ecd8b731"
"S-1-5-21-1134100248-2527842415-542649075-1682","5d8db26b-c099-4b91-8659-db38163420e9"
"S-1-5-21-1134100248-2527842415-542649075-1619","31416301-5db6-4f48-96ca-f81646cf5c31"
"S-1-5-21-1134100248-2527842415-542649075-1660","be6b333c-b3ac-4000-9e69-469e0d627199"
"S-1-5-21-1134100248-2527842415-542649075-1191","2f1dbcf9-c329-44ed-af13-a8d8c818abe4"
"S-1-5-21-1134100248-2527842415-542649075-1166","09a3377b-3dca-4b7a-93bb-b1426bca3905"
"S-1-5-21-1134100248-2527842415-542649075-1637","63ef8029-e9f1-4ecc-938c-24b5dbb47d86"
"S-1-5-21-1134100248-2527842415-542649075-1688","d763243a-1163-43ac-9dd7-12f8c9d6265a"
"S-1-5-21-1134100248-2527842415-542649075-1663","442c970c-933f-4e2c-8dd0-d84859e53840"
"S-1-5-21-1134100248-2527842415-542649075-1689","1160abf7-b18d-47b3-8dc4-372b93e14f17"
"S-1-5-21-1134100248-2527842415-542649075-1690","6040967e-cd0d-409b-8d85-d392bb9168cc"
"S-1-5-21-1134100248-2527842415-542649075-1678","c4300239-0210-4b36-9c5a-25749e14e839"
"S-1-5-21-1134100248-2527842415-542649075-1659","dc206a87-fc25-4ad5-8dd3-184b4d748bbd"
"S-1-5-21-1134100248-2527842415-542649075-1209","94798d3c-7b80-4412-b982-60160651ad19"
"S-1-5-21-1134100248-2527842415-542649075-1661","0ae8ab23-8afa-410f-bb16-5c9fe7472897"
"S-1-5-21-1134100248-2527842415-542649075-1639","200f931a-3ddc-4e03-988d-380f6b00bc0b"
"S-1-5-21-1134100248-2527842415-542649075-1186","ad26dddb-79e1-40a9-a06d-f1d9cd5a854f"
"S-1-5-21-1134100248-2527842415-542649075-1640","3950f6ac-ef6d-4c9b-b79a-2f93b4931662"
"S-1-5-21-1134100248-2527842415-542649075-1658","1ae0a084-8224-4ad8-9aeb-1abc6b7fee47"
"S-1-5-21-1134100248-2527842415-542649075-1169","63be427f-3525-4050-ac19-f1734b48905e"
"S-1-5-21-1134100248-2527842415-542649075-1662","1391683b-1166-4942-ae6d-2e15088defbc"
"S-1-5-21-1134100248-2527842415-542649075-1674","d2971c3c-970b-4071-b1c6-5fba570b207c"
"S-1-5-21-1134100248-2527842415-542649075-1620","97a82f98-3042-4606-837d-244dab9fd347"
